Platform,Status,watched_date_time,Video Link,Video Name,Channel Name,Channel Link,Rating,Duration,Length,Thumbnail,Likes,Views
YouTube,Watched,2024-06-28T15:54:16.259Z,https://www.youtube.com/watch?v=TkSlRX0f2B4,SIP SOV_Motion_Video_Landscape_Jan30,Groww App,https://www.youtube.com/channel/UCjwYi4XkhN1ORT2Ehb5Dw9Q,,PT21S,,https://i.ytimg.com/vi/TkSlRX0f2B4/default.jpg,,89515300
YouTube,Watched,2024-06-28T15:05:39.390Z,https://www.youtube.com/watch?v=Q1uedC-1gko,Wind Energy - Basic Components of Wind Energy Conversion System,R.R. Unecha,https://www.youtube.com/channel/UCGrxFJjD48CDj63wfsU4_rA,,PT6M43S,,https://i.ytimg.com/vi/Q1uedC-1gko/default.jpg,804,59202
YouTube,Watched,2024-06-28T15:05:29.537Z,https://www.youtube.com/watch?v=uUzqfckAlbg,WECS | BASIC COMPONENTS OF WIND ENERGY CONVERSION SYSTEM | REE | GTU,Agravat Vishal,https://www.youtube.com/channel/UCxeX1Tq9nJcSs8HA4aomWUg,,PT6M48S,,https://i.ytimg.com/vi/uUzqfckAlbg/default.jpg,500,38498
YouTube,Watched,2024-06-28T15:05:24.990Z,https://www.youtube.com/watch?v=lL5WOZrwwo8,Network on LinkedIn,LinkedIn,https://www.youtube.com/channel/UCKz7zeOOpvAy5qs7sCy7QhA,,PT6S,,https://i.ytimg.com/vi/lL5WOZrwwo8/default.jpg,,618
YouTube,Watched,2024-06-28T15:00:08.713Z,https://www.youtube.com/watch?v=_PaH1X6U6js,aussie dressing room mentality,Digal's Cricdom ,https://www.youtube.com/channel/UC8Z0DpJFj_kLK-O5AvecIxA,,PT58S,,https://i.ytimg.com/vi/_PaH1X6U6js/default.jpg,148792,3077758
YouTube,Watched,2024-06-28T14:59:11.473Z,https://www.youtube.com/watch?v=94FGSLvC_EU,உலகிலேயே மெதுவாகப் போகும் ரயில் #shorts  #pattimandram  #tamilcomedy,Cine Truck Tamil,https://www.youtube.com/channel/UC2edUpIhbw47EFy54XAErRQ,,PT1M1S,,https://i.ytimg.com/vi/94FGSLvC_EU/default.jpg,171842,4055992
YouTube,Watched,2024-06-28T14:59:03.388Z,https://www.youtube.com/watch?v=5tuHjoaYyio,The Real Story Behind Ms Dhoni's First Test Wicket👀,Cric Streaks,https://www.youtube.com/channel/UCc25LBgUukWWwUpki_XYC_w,,PT48S,,https://i.ytimg.com/vi/5tuHjoaYyio/default.jpg,258266,4603993
YouTube,Watched,2024-06-28T14:58:48.718Z,https://www.youtube.com/watch?v=PAtZT7jV13k,DINESH KARTHIK THUG LIFE #cricket #msd #trending #ipl #dineshkarthik #indvsaus #cricketlover,VOICE OF RIO,https://www.youtube.com/channel/UC4GMG4s6dUHF_J_TiaqgDZQ,,PT1M,,https://i.ytimg.com/vi/PAtZT7jV13k/default.jpg,20220,276653
YouTube,Watched,2024-06-28T14:58:24.163Z,https://www.youtube.com/watch?v=QDMwoX2ebT4,Shubman Gill Showing Level 🔥🔥🥵💯 | #shorts #trending #shortsvideo #youtubeshorts,Official Sumit2.0,https://www.youtube.com/channel/UC_4YRPnI_aY6LJza8PTgjyw,,PT24S,,https://i.ytimg.com/vi/QDMwoX2ebT4/default.jpg,321283,6725120
YouTube,Watched,2024-06-28T14:58:20.513Z,https://www.youtube.com/watch?v=yp0s7fv1AXs,"10th,+2marksheet kattanumaa ⁉️💢|#youtubeshorts#panniduvom#hukum#ipl2024#marksheet#10th #12th#exam",PANNIDUVOM OFFICIAL,https://www.youtube.com/channel/UCL87F4xeH2GqwV3suo4tKPg,,PT1M,,https://i.ytimg.com/vi/yp0s7fv1AXs/default.jpg,209740,2080832
